"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Feb 28 15:21:44 UTC 2023","Tue Feb 28 15:21:44 UTC 2023","19","webkit","blogSearch.spec.js","Blog search","","","Should show search results for ""programming""",""
"passed","Tue Feb 28 15:21:12 UTC 2023","Tue Feb 28 15:21:15 UTC 2023","3663","chromium","supportCenterSearch.spec.js","Support center search","","","Should show search results for ""programming""",""
"failed","Tue Feb 28 15:21:54 UTC 2023","Tue Feb 28 15:21:54 UTC 2023","17","webkit","numberLookup.spec.js","Look up number","","","Should show phone number information correctly",""
"failed","Tue Feb 28 15:21:45 UTC 2023","Tue Feb 28 15:21:45 UTC 2023","20","webkit","blogSearch.spec.js","Blog search","","","Should show empty search results for ""blablabla""",""
"passed","Tue Feb 28 15:20:05 UTC 2023","Tue Feb 28 15:20:10 UTC 2023","4313","chromium","downloadingPricesCSV.spec.js","Downloading prices CSV","","","Should not download CSV of prices due to invalid credentials",""
"failed","Tue Feb 28 15:21:33 UTC 2023","Tue Feb 28 15:21:33 UTC 2023","18","firefox","numberLookup.spec.js","Look up number","","","Should show phone number information incorrectly due to invalid credentials",""
"failed","Tue Feb 28 15:21:35 UTC 2023","Tue Feb 28 15:21:35 UTC 2023","30","firefox","partnershipMessage.spec.js","Partnership message","","","Should not send Partnership due to invalid credentials",""
"failed","Tue Feb 28 15:21:53 UTC 2023","Tue Feb 28 15:21:53 UTC 2023","18","webkit","logIn.spec.js","Log in","","","Log in with invalid credentials",""
"passed","Tue Feb 28 15:21:15 UTC 2023","Tue Feb 28 15:21:19 UTC 2023","3512","chromium","supportCenterSearch.spec.js","Support center search","","","Should show empty search for ""blablabla""",""
"passed","Tue Feb 28 15:20:34 UTC 2023","Tue Feb 28 15:20:38 UTC 2023","4011","chromium","partnershipMessage.spec.js","Partnership message","","","Should not send Partnership due to invalid credentials",""
"passed","Tue Feb 28 15:20:59 UTC 2023","Tue Feb 28 15:21:04 UTC 2023","5499","chromium","savingsCalculator.spec.js","Savings calculator","","","Should show calculated user savings",""
"passed","Tue Feb 28 15:20:16 UTC 2023","Tue Feb 28 15:20:22 UTC 2023","5470","chromium","logIn.spec.js","Log in","","","Log in with invalid credentials",""
"failed","Tue Feb 28 15:21:34 UTC 2023","Tue Feb 28 15:21:34 UTC 2023","34","firefox","partnershipMessage.spec.js","Partnership message","","","Should send Partnership message",""
"passed","Tue Feb 28 15:20:22 UTC 2023","Tue Feb 28 15:20:26 UTC 2023","4544","chromium","numberLookup.spec.js","Look up number","","","Should show phone number information correctly",""
"failed","Tue Feb 28 15:21:21 UTC 2023","Tue Feb 28 15:21:21 UTC 2023","32","firefox","becomeBetaTesterMessage.spec.js","Become a beta tester message","","","Should not send Become a beta tester message due to invalid credentials",""
"failed","Tue Feb 28 15:21:55 UTC 2023","Tue Feb 28 15:21:55 UTC 2023","20","webkit","numberLookup.spec.js","Look up number","","","Should show phone number information incorrectly due to invalid credentials",""
"passed","Tue Feb 28 15:19:53 UTC 2023","Tue Feb 28 15:19:57 UTC 2023","4447","chromium","contactUsMessage.spec.js","Contact us message","","","Should send Contact us message",""
"failed","Tue Feb 28 15:21:41 UTC 2023","Tue Feb 28 15:21:41 UTC 2023","22","firefox","supportCenterSearch.spec.js","Support center search","","","Should show empty search for ""blablabla""",""
"failed","Tue Feb 28 15:21:22 UTC 2023","Tue Feb 28 15:21:22 UTC 2023","18","firefox","blogSearch.spec.js","Blog search","","","Should show search results for ""programming""",""
"failed","Tue Feb 28 15:21:47 UTC 2023","Tue Feb 28 15:21:47 UTC 2023","18","webkit","contactUsMessage.spec.js","Contact us message","","","Should send Contact us message",""
"passed","Tue Feb 28 15:19:48 UTC 2023","Tue Feb 28 15:19:53 UTC 2023","4481","chromium","changingPricingCountry.spec.js","Changing pricing country","","","Should change pricings for country",""
"failed","Tue Feb 28 15:21:52 UTC 2023","Tue Feb 28 15:21:52 UTC 2023","18","webkit","logIn.spec.js","Log in","","","Log in with valid credentials",""
"failed","Tue Feb 28 15:21:23 UTC 2023","Tue Feb 28 15:21:23 UTC 2023","18","firefox","blogSearch.spec.js","Blog search","","","Should show empty search results for ""blablabla""",""
"failed","Tue Feb 28 15:21:24 UTC 2023","Tue Feb 28 15:21:24 UTC 2023","17","firefox","changingPricingCountry.spec.js","Changing pricing country","","","Should change pricings for country",""
"failed","Tue Feb 28 15:21:37 UTC 2023","Tue Feb 28 15:21:37 UTC 2023","22","firefox","signUp.spec.js","Sign up","","","Should sign up",""
"failed","Tue Feb 28 15:22:00 UTC 2023","Tue Feb 28 15:22:00 UTC 2023","17","webkit","signUp.spec.js","Sign up","","","Should sign up",""
"failed","Tue Feb 28 15:21:39 UTC 2023","Tue Feb 28 15:21:39 UTC 2023","19","firefox","signUp.spec.js","Sign up","","","Should not sign up due to invalid credentials",""
"failed","Tue Feb 28 15:21:58 UTC 2023","Tue Feb 28 15:21:58 UTC 2023","18","webkit","savingsCalculator.spec.js","Savings calculator","","","Should show calculated user savings",""
"failed","Tue Feb 28 15:21:26 UTC 2023","Tue Feb 28 15:21:26 UTC 2023","17","firefox","contactUsMessage.spec.js","Contact us message","","","Should not send Contact us message due to invalid credentials",""
"passed","Tue Feb 28 15:20:30 UTC 2023","Tue Feb 28 15:20:34 UTC 2023","4145","chromium","partnershipMessage.spec.js","Partnership message","","","Should send Partnership message",""
"passed","Tue Feb 28 15:20:26 UTC 2023","Tue Feb 28 15:20:30 UTC 2023","4071","chromium","numberLookup.spec.js","Look up number","","","Should show phone number information incorrectly due to invalid credentials",""
